'volume', 'seasonal', 'family', 'matrix_criteria_size', 'class_author', 'matrix_fec', 'phylum', 'reproductive_repetition_id', 'class_organized', 'class_number', 'editors', 'matrix_start_season_id', 'study_start', 'journal_name', 'dicot_monoc_id', 'matrix_dimension', 'kingdom', 'population_nautical_miles', 'pub_title', 'matrix_end_season_id', 'genus_accepted', 'date_digitised', 'angio_gymno_id', 'authors', 'matrix_criteria_age', 'continent_id', 'matrix_composition_id', 'study_end', 'species_author', 'DOI_ISBN', 'organism_type_id', 'publication_id', 'survival_issue', 'matrix_f_string', 'within_site_replication', 'tax_order', 'periodicity', 'matrix_u_string', 'studied_sex_id', 'matrix_c_string', 'year', 'matrix_start_month', 'id', 'matrix_start_year', 'species_id', 'species_accepted', 'matrix_a_string', 'captivity_id', 'matrix_end_month', 'matrix_end_year', 'matrix_id', 'matrix_criteria_ontogeny', 'matrix_split', 'treatment_id', 'number_populations', 'population_name', 'pages', 'publisher', 'species_common', 'tax_class', 'study_duration', 'spand_ex_growth_type_id', 'ecoregion_id', 'genus'
'None', False, 'Pinaceae', 'DBH', '|active|active|active|active|active|', True, 'Pinophyta', None, '|active|active|active|active|active|', '|1|2|3|4|5|', None, 'None', '1982', 'J Ecol', 'None', '5', 'Plantae', None, 'None', 'None', None, '2013-01-23 00:00:00', 'Gymnosperm', 'van Mantgem  Stephenson', 'False', 'N America', 'Individual', '2003', 'Abies_concolor', '0.1111/j.1365-2745.2005.01007.x', '11', '1', 0.986, '[0 0 0 0 0.35;0 0 0 0 0;0 0 0 0 0;0 0 0 0 0;0 0 0 0 0]', 'Hodgedon Meadows: 1.0 and 1.0 ha; Crystal Road: 1.0 and 1.1 ha; Suwanee Creek: 1.4 and 0.9 and 1.1 ha; SEGI Conifer: 2.0 and 2.5 ha; Log Creek: 1.1 and 1.0 ha', 'Pinales', 0.2, '[0.78 0 0 0 0;0.146 0.773 0 0 0;0 0.156 0.856 0 0;0 0 0.083 0.932 0;0 0 0 0.054 0.971]', 'A', '[0 0 0 0 0;0 0 0 0 0;0 0 0 0 0;0 0 0 0 0;0 0 0 0 0]', 2005, 'None', '1', '1982', '1', 'Abies concolor', '[0.78 0 0 0 0.35;0.146 0.773 0 0 0;0 0.156 0.856 0 0;0 0 0.083 0.932 0;0 0 0 0.054 0.971]', 'W', 'None', '1988', '1', 'False', True, 'Unmanipulated', '5', 'SEGI Conifer', 'None', 'None', 'None', 'Pinopsida', '22', 'Tree', '5', 'Abies'
'None', False, 'Pinaceae', 'DBH', '|active|active|active|active|active|', True, 'Pinophyta', None, '|active|active|active|active|active|', '|1|2|3|4|5|', None, 'None', '1982', 'J Ecol', 'None', '5', 'Plantae', None, 'None', 'None', None, '2013-01-23 00:00:00', 'Gymnosperm', 'van Mantgem  Stephenson', 'False', 'N America', 'Mean', '2003', 'Abies_concolor', '0.1111/j.1365-2745.2005.01007.x', '11', '1', 0.9384, '[0 0 0 0 0.441033333333333;0 0 0 0 0;0 0 0 0 0;0 0 0 0 0;0 0 0 0 0]', 'Hodgedon Meadows: 1.0 and 1.0 ha; Crystal Road: 1.0 and 1.1 ha; Suwanee Creek: 1.4 and 0.9 and 1.1 ha; SEGI Conifer: 2.0 and 2.5 ha; Log Creek: 1.1 and 1.0 ha', 'Pinales', 0.2, '[0.7414 0 0 0 0;0.112933333333333 0.7643 0 0 0;0 0.120533333333333 0.8169 0 0;0 0 0.0797333333333333 0.881366666666667 0;0 0 0 0.0570333333333333 0.9323]', 'A', '[0 0 0 0 0;0 0 0 0 0;0 0 0 0 0;0 0 0 0 0;0 0 0 0 0]', 2005, 'None', '2', '1982', '1', 'Abies concolor', '[0.7414 0 0 0 0.441033333333333;0.112933333333333 0.7643 0 0 0;0 0.120533333333333 0.8169 0 0;0 0 0.0797333333333333 0.881366666666667 0;0 0 0 0.0570333333333333 0.9323]', 'W', 'None', '2003', '2', 'False', True, 'Unmanipulated', '5', 'Hodgedon Meadows; Crystal Road; Suwanee Creek; SEGI Conifer; Log Creek', 'None', 'None', 'None', 'Pinopsida', '22', 'Tree', '5', 'Abies'
'None', False, 'Pinaceae', 'DBH', '|active|active|active|active|active|', True, 'Pinophyta', None, '|active|active|active|active|active|', '|1|2|3|4|5|', None, 'None', '1982', 'J Ecol', 'None', '5', 'Plantae', None, 'None', 'None', None, '2013-01-23 00:00:00', 'Gymnosperm', 'van Mantgem  Stephenson', 'False', 'N America', 'Mean', '2003', 'Abies_concolor', '0.1111/j.1365-2745.2005.01007.x', '11', '1', 0.970333, '[0 0 0 0 0.31;0 0 0 0 0;0 0 0 0 0;0 0 0 0 0;0 0 0 0 0]', 'Hodgedon Meadows: 1.0 and 1.0 ha; Crystal Road: 1.0 and 1.1 ha; Suwanee Creek: 1.4 and 0.9 and 1.1 ha; SEGI Conifer: 2.0 and 2.5 ha; Log Creek: 1.1 and 1.0 ha', 'Pinales', 0.2, '[0.758666666666667 0 0 0 0;0.176333333333333 0.773666666666667 0 0 0;0 0.164333333333333 0.855 0 0;0 0 0.0816666666666667 0.927666666666667 0;0 0 0 0.0426666666666667 0.962333333333333]', 'A', '[0 0 0 0 0;0 0 0 0 0;0 0 0 0 0;0 0 0 0 0;0 0 0 0 0]', 2005, 'None', '3', '1982', '1', 'Abies concolor', '[0.758666666666667 0 0 0 0.31;0.176333333333333 0.773666666666667 0 0 0;0 0.164333333333333 0.855 0 0;0 0 0.0816666666666667 0.927666666666667 0;0 0 0 0.0426666666666667 0.962333333333333]', 'W', 'None', '1999', '3', 'False', True, 'Unmanipulated', '5', 'SEGI Conifer', 'None', 'None', 'None', 'Pinopsida', '22', 'Tree', '5', 'Abies'
'None', False, 'Pinaceae', 'DBH', '|active|active|active|active|active|', True, 'Pinophyta', None, '|active|active|active|active|active|', '|1|2|3|4|5|', None, 'None', '1982', 'J Ecol', 'None', '5', 'Plantae', None, 'None', 'None', None, '2013-01-23 00:00:00', 'Gymnosperm', 'van Mantgem  Stephenson', 'False', 'N America', 'Individual', '2003', 'Abies_concolor', '0.1111/j.1365-2745.2005.01007.x', '11', '1', 0.966, '[0 0 0 0 0.463;0 0 0 0 0;0 0 0 0 0;0 0 0 0 0;0 0 0 0 0]', 'Hodgedon Meadows: 1.0 and 1.0 ha; Crystal Road: 1.0 and 1.1 ha; Suwanee Creek: 1.4 and 0.9 and 1.1 ha; SEGI Conifer: 2.0 and 2.5 ha; Log Creek: 1.1 and 1.0 ha', 'Pinales', 0.2, '[0.788 0 0 0 0;0.139 0.804 0 0 0;0 0.161 0.875 0 0;0 0 0.091 0.872 0;0 0 0 0.068 0.956]', 'A', '[0 0 0 0 0;0 0 0 0 0;0 0 0 0 0;0 0 0 0 0;0 0 0 0 0]', 2005, 'None', '4', '1983', '1', 'Abies concolor', '[0.788 0 0 0 0.463;0.139 0.804 0 0 0;0 0.161 0.875 0 0;0 0 0.091 0.872 0;0 0 0 0.068 0.956]', 'W', 'None', '1999', '4', 'False', True, 'Unmanipulated', '5', 'Suwanee Creek ', 'None', 'None', 'None', 'Pinopsida', '22', 'Tree', '5', 'Abies'
'None', False, 'Pinaceae', 'DBH', '|active|active|active|active|active|', True, 'Pinophyta', None, '|active|active|active|active|active|', '|1|2|3|4|5|', None, 'None', '1982', 'J Ecol', 'None', '5', 'Plantae', None, 'None', 'None', None, '2013-01-23 00:00:00', 'Gymnosperm', 'van Mantgem  Stephenson', 'False', 'N America', 'Individual', '2003', 'Abies_concolor', '0.1111/j.1365-2745.2005.01007.x', '11', '1', 0.966, '[0 0 0 0 0.287;0 0 0 0 0;0 0 0 0 0;0 0 0 0 0;0 0 0 0 0]', 'Hodgedon Meadows: 1.0 and 1.0 ha; Crystal Road: 1.0 and 1.1 ha; Suwanee Creek: 1.4 and 0.9 and 1.1 ha; SEGI Conifer: 2.0 and 2.5 ha; Log Creek: 1.1 and 1.0 ha', 'Pinales', 0.2, '[0.823 0 0 0 0;0.108 0.767 0 0 0;0 0.174 0.857 0 0;0 0 0.086 0.91 0;0 0 0 0.056 0.903]', 'A', '[0 0 0 0 0;0 0 0 0 0;0 0 0 0 0;0 0 0 0 0;0 0 0 0 0]', 2005, 'None', '5', '1983', '1', 'Abies concolor', '[0.823 0 0 0 0.287;0.108 0.767 0 0 0;0 0.174 0.857 0 0;0 0 0.086 0.91 0;0 0 0 0.056 0.903]', 'W', 'None', '1999', '5', 'False', True, 'Unmanipulated', '5', 'Suwanee Creek ', 'None', 'None', 'None', 'Pinopsida', '22', 'Tree', '5', 'Abies'
'None', False, 'Pinaceae', 'DBH', '|active|active|active|active|active|', True, 'Pinophyta', None, '|active|active|active|active|active|', '|1|2|3|4|5|', None, 'None', '1982', 'J Ecol', 'None', '5', 'Plantae', None, 'None', 'None', None, '2013-01-23 00:00:00', 'Gymnosperm', 'van Mantgem  Stephenson', 'False', 'N America', 'Individual', '2003', 'Abies_concolor', '0.1111/j.1365-2745.2005.01007.x', '11', '1', 0.983, '[0 0 0 0 0.307;0 0 0 0 0;0 0 0 0 0;0 0 0 0 0;0 0 0 0 0]', 'Hodgedon Meadows: 1.0 and 1.0 ha; Crystal Road: 1.0 and 1.1 ha; Suwanee Creek: 1.4 and 0.9 and 1.1 ha; SEGI Conifer: 2.0 and 2.5 ha; Log Creek: 1.1 and 1.0 ha', 'Pinales', 0.2, '[0.836 0 0 0 0;0.134 0.85 0 0 0;0 0.131 0.895 0 0;0 0 0.066 0.932 0;0 0 0 0.051 0.966]', 'A', '[0 0 0 0 0;0 0 0 0 0;0 0 0 0 0;0 0 0 0 0;0 0 0 0 0]', 2005, 'None', '6', '1983', '1', 'Abies concolor', '[0.836 0 0 0 0.307;0.134 0.85 0 0 0;0 0.131 0.895 0 0;0 0 0.066 0.932 0;0 0 0 0.051 0.966]', 'W', 'None', '1999', '6', 'False', True, 'Unmanipulated', '5', 'Suwanee Creek ', 'None', 'None', 'None', 'Pinopsida', '22', 'Tree', '5', 'Abies'
'None', False, 'Pinaceae', 'DBH', '|active|active|active|active|active|', True, 'Pinophyta', None, '|active|active|active|active|active|', '|1|2|3|4|5|', None, 'None', '1982', 'J Ecol', 'None', '5', 'Plantae', None, 'None', 'None', None, '2013-01-23 00:00:00', 'Gymnosperm', 'van Mantgem  Stephenson', 'False', 'N America', 'Mean', '2003', 'Abies_concolor', '0.1111/j.1365-2745.2005.01007.x', '11', '1', 0.963, '[0 0 0 0 0.352333333333333;0 0 0 0 0;0 0 0 0 0;0 0 0 0 0;0 0 0 0 0]', 'Hodgedon Meadows: 1.0 and 1.0 ha; Crystal Road: 1.0 and 1.1 ha; Suwanee Creek: 1.4 and 0.9 and 1.1 ha; SEGI Conifer: 2.0 and 2.5 ha; Log Creek: 1.1 and 1.0 ha', 'Pinales', 0.2, '[0.815666666666667 0 0 0 0;0.127 0.807 0 0 0;0 0.155333333333333 0.875666666666667 0 0;0 0 0.081 0.904666666666667 0;0 0 0 0.0583333333333333 0.941666666666667]', 'A', '[0 0 0 0 0;0 0 0 0 0;0 0 0 0 0;0 0 0 0 0;0 0 0 0 0]', 2005, 'None', '7', '1983', '1', 'Abies concolor', '[0.815666666666667 0 0 0 0.352333333333333;0.127 0.807 0 0 0;0 0.155333333333333 0.875666666666667 0 0;0 0 0.081 0.904666666666667 0;0 0 0 0.0583333333333333 0.941666666666667]', 'W', 'None', '1999', '7', 'False', True, 'Unmanipulated', '5', 'Suwanee Creek ', 'None', 'None', 'None', 'Pinopsida', '22', 'Tree', '5', 'Abies'
'None', False, 'Pinaceae', 'DBH', '|active|active|active|active|active|', True, 'Pinophyta', None, '|active|active|active|active|active|', '|1|2|3|4|5|', None, 'None', '1982', 'J Ecol', 'None', '5', 'Plantae', None, 'None', 'None', None, '2013-01-23 00:00:00', 'Gymnosperm', 'van Mantgem  Stephenson', 'False', 'N America', 'Individual', '2003', 'Abies_concolor', '0.1111/j.1365-2745.2005.01007.x', '11', '1', 0.981, '[0 0 0 0 0.115;0 0 0 0 0;0 0 0 0 0;0 0 0 0 0;0 0 0 0 0]', 'Hodgedon Meadows: 1.0 and 1.0 ha; Crystal Road: 1.0 and 1.1 ha; Suwanee Creek: 1.4 and 0.9 and 1.1 ha; SEGI Conifer: 2.0 and 2.5 ha; Log Creek: 1.1 and 1.0 ha', 'Pinales', 0.2, '[0.834 0 0 0 0;0.124 0.817 0 0 0;0 0.099 0.877 0 0;0 0 0.084 0.962 0;0 0 0 0.019 0.974]', 'A', '[0 0 0 0 0;0 0 0 0 0;0 0 0 0 0;0 0 0 0 0;0 0 0 0 0]', 2005, 'None', '8', '1987', '1', 'Abies concolor', '[0.834 0 0 0 0.115;0.124 0.817 0 0 0;0 0.099 0.877 0 0;0 0 0.084 0.962 0;0 0 0 0.019 0.974]', 'W', 'None', '2002', '8', 'False', True, 'Unmanipulated', '5', 'Log Creek', 'None', 'None', 'None', 'Pinopsida', '22', 'Tree', '5', 'Abies'
'None', False, 'Pinaceae', 'DBH', '|active|active|active|active|active|', True, 'Pinophyta', None, '|active|active|active|active|active|', '|1|2|3|4|5|', None, 'None', '1982', 'J Ecol', 'None', '5', 'Plantae', None, 'None', 'None', None, '2013-01-23 00:00:00', 'Gymnosperm', 'van Mantgem  Stephenson', 'False', 'N America', 'Individual', '2003', 'Abies_concolor', '0.1111/j.1365-2745.2005.01007.x', '11', '1', 0.991, '[0 0 0 0 0.097;0 0 0 0 0;0 0 0 0 0;0 0 0 0 0;0 0 0 0 0]', 'Hodgedon Meadows: 1.0 and 1.0 ha; Crystal Road: 1.0 and 1.1 ha; Suwanee Creek: 1.4 and 0.9 and 1.1 ha; SEGI Conifer: 2.0 and 2.5 ha; Log Creek: 1.1 and 1.0 ha', 'Pinales', 0.2, '[0.694 0 0 0 0;0.153 0.705 0 0 0;0 0.173 0.834 0 0;0 0 0.103 0.861 0;0 0 0 0.13 0.986]', 'A', '[0 0 0 0 0;0 0 0 0 0;0 0 0 0 0;0 0 0 0 0;0 0 0 0 0]', 2005, 'None', '9', '1987', '1', 'Abies concolor', '[0.694 0 0 0 0.097;0.153 0.705 0 0 0;0 0.173 0.834 0 0;0 0 0.103 0.861 0;0 0 0 0.13 0.986]', 'W', 'None', '1992', '9', 'False', True, 'Unmanipulated', '5', 'Log Creek', 'None', 'None', 'None', 'Pinopsida', '22', 'Tree', '5', 'Abies'
'None', False, 'Pinaceae', 'DBH', '|active|active|active|active|active|', True, 'Pinophyta', None, '|active|active|active|active|active|', '|1|2|3|4|5|', None, 'None', '1982', 'J Ecol', 'None', '5', 'Plantae', None, 'None', 'None', None, '2013-01-23 00:00:00', 'Gymnosperm', 'van Mantgem  Stephenson', 'False', 'N America', 'Mean', '2003', 'Abies_concolor', '0.1111/j.1365-2745.2005.01007.x', '11', '1', 0.967333, '[0 0 0 0 0.172333333333333;0 0 0 0 0;0 0 0 0 0;0 0 0 0 0;0 0 0 0 0]', 'Hodgedon Meadows: 1.0 and 1.0 ha; Crystal Road: 1.0 and 1.1 ha; Suwanee Creek: 1.4 and 0.9 and 1.1 ha; SEGI Conifer: 2.0 and 2.5 ha; Log Creek: 1.1 and 1.0 ha', 'Pinales', 0.2, '[0.751333333333333 0 0 0 0;0.164 0.748333333333333 0 0 0;0 0.158666666666667 0.860666666666667 0 0;0 0 0.0803333333333333 0.894333333333333 0;0 0 0 0.0496666666666667 0.967333333333333]', 'A', '[0 0 0 0 0;0 0 0 0 0;0 0 0 0 0;0 0 0 0 0;0 0 0 0 0]', 2005, 'None', '10', '1987', '1', 'Abies concolor', '[0.751333333333333 0 0 0 0.172333333333333;0.164 0.748333333333333 0 0 0;0 0.158666666666667 0.860666666666667 0 0;0 0 0.0803333333333333 0.894333333333333 0;0 0 0 0.0496666666666667 0.967333333333333]', 'W', 'None', '2002', '10', 'False', True, 'Unmanipulated', '5', 'Log Creek', 'None', 'None', 'None', 'Pinopsida', '22', 'Tree', '5', 'Abies'
