'volume', 'seasonal', 'non_independence', 'family', 'taxonomy', 'authors', 'invasive_status_study_id', 'lat_deg', 'class_author', 'matrix_fec', 'phylum', 'image_path2', 'reproductive_repetition_id', 'class_organized', 'col_check_ok', 'lon_deg', 'class_number', 'lat_min', 'city', 'publication', 'altitude', 'editors', 'species_gisd_status', 'purpose_endangered_id', 'matrix_start_season_id', 'matrix_criteria_size', 'journal_name', 'latitude', 'lat_ns', 'dicot_monoc_id', 'matrix_complete', 'matrix_dimension', 'observations', 'kingdom', 'population_nautical_miles', 'pub_title', 'lon_ew', 'trait', 'study_notes', 'genus_accepted', 'total_pop_no', 'date_digitised', 'angio_gymno_id', 'matrix_irreducible', 'database_source_id', 'matrix_criteria_age', 'lon_sec', 'institution', 'matrix_ergodic', 'population', 'study_duration', 'invasive_status_elsewhere_id', 'matrix_composition_id', 'study_end', 'matrix_difficulty', 'species_author', 'DOI_ISBN', 'organism_type_id', 'longitude', 'non_independence_author', 'population_name', 'continent_id', 'population_id', 'matrix_f_string', 'independence_origin', 'species_epithet_accepted', 'fixed', 'embargo', 'iucn_status_id', 'within_site_replication', 'tax_order', 'uid', 'gbif_taxon_key', 'vector_present', 'matrix_u_string', 'studied_sex_id', 'authority', 'matrix_end_season_id', 'purpose_weed_id', 'matrix_c_string', 'n_intervals', 'year', 'survival_issue', 'matrix_start_month', 'id', 'matrix_start_year', 'species_id', 'species_accepted', 'col_check_date', 'matrix_primitive', 'matrix_a_string', 'captivity_id', 'species', 'matrix_lambda', 'infraspecies_accepted', 'census_timing_id', 'study_start', 'matrix_end_month', 'matrix_end_year', 'vector_str', 'lon_min', 'matrix_id', '_sa_instance_state', 'image_path', 'tpl_version', 'matrix_criteria_ontogeny', 'matrix_split', 'species_iucn_taxonid', 'treatment_id', 'independent', 'number_populations', 'species_common', 'student', 'additional_source_string', 'pages', 'small_id', 'publisher', 'source_type_id', 'seed_stage_error', 'publication_id', 'country', 'colour', 'tax_class', 'lat_sec', 'private', 'spand_ex_growth_type_id', 'ecoregion_id', 'genus', 'journal_book_conf', 'growth_form_raunkiaer_id'
None, None, None, u'Pinaceae', [<Taxonomy 1L>], u'Silvertown; Dodd', None, None, None, None, u'Pinophyta', u'http://media.eol.org/content/2012/06/14/20/41094_orig.jpg', None, None, None, None, None, None, None, <Publication 1L>, None, None, False, None, None, u'DBH; stem height', u'Am Nat', None, u'N', None, None, None, None, u'Plantae', None, None, u'E', [<Trait 1L>], None, None, None, datetime.datetime(2012, 11, 19, 0, 0), 2L, None, None, False, None, None, None, <Population 1L>, 1L, None, None, 1997L, None, u'Abies_balsamea', u'10.1086/303238', 11L, None, None, None, None, 1L, None, None, None, [1], None, 7L, u'stage1 (0.2 m x 0.2 m); stage2 (0.5 m x 0.5 m); stage3 (1 m x 1 m); stage4 (2.5 m x 2.5 m)', u'Pinales', None, None, None, None, None, None, None, None, None, None, None, None, None, 1L, None, 1L, u'Abies_balsamea', None, None, None, None, <Species 1L>, None, None, None, 1997L, None, None, None, None, 1L, <sqlalchemy.orm.state.InstanceState object at 0x05F20AF0>, u'http://media.eol.org/content/2015/01/01/02/21368_orig.jpg', None, False, None, 42272L, 1L, None, 4L, u'Balsam Fir', u'France', None, None, None, None, None, None, 1L, None, u'#C23067', u'Pinopsida', None, True, None, 6L, u'Abies', None, None
None, False, None, u'Pinaceae', [<Taxonomy 2L>], u'van Mantgem; Stephenson', 1L, 36L, u'c(|DBH: 0.0-5.0 cm|DBH: 5.1-10.0 cm|DBH: 10.1-20.0 cm|DBH: 20.1-40.0 cm|DBH: >40.0 cm|)', True, u'Pinophyta', u'http://media.eol.org/content/2012/06/14/17/08077_orig.jpg', None, u'c(|active|active|active|active|active|)', None, 117L, u'c(|1|2|3|4|5|)', 36L, None, <Publication 2L>, 1623.0, None, False, None, None, u'DBH', u'J Ecol', 36.6, u'N', None, True, 5L, None, u'Plantae', None, None, u'W', [<Trait 2L>], None, None, None, datetime.datetime(2013, 1, 23, 0, 0), 2L, True, None, False, 0L, None, True, <Population 2L>, 22L, 2L, 1L, 2003L, None, u'Abies_concolor', u'10.1111/j.1365-2745.2005.01007.x', 11L, -117.2, None, u'Crystal Road', 4L, 2L, u'[0 0 0 0 1.279;0 0 0 0 0;0 0 0 0 0;0 0 0 0 0;0 0 0 0 0]', None, None, [2], None, 7L, u'Hodgedon Meadows: 1.0 and 1.0 ha; Crystal Road: 1.0 and 1.1 ha; Suwanee Creek: 1.4 and 0.9 and 1.1 ha; SEGI Conifer: 2.0 and 2.5 ha; Log Creek: 1.1 and 1.0 ha', u'Pinales', None, None, None, u'[0.774 0 0 0 0;0.086 0.837 0 0 0;0 0.072 0.84 0 0;0 0 0.111 0.903 0;0 0 0 0.073 0.884]', 5L, None, None, None, u'[0 0 0 0 0;0 0 0 0 0;0 0 0 0 0;0 0 0 0 0;0 0 0 0 0]', None, 2005, 0.976, None, 2L, 1991L, 2L, u'Abies_concolor', None, True, u'[0.774 0 0 0 1.279;0.086 0.837 0 0 0;0 0.072 0.84 0 0;0 0 0.111 0.903 0;0 0 0 0.073 0.884]', 1L, <Species 2L>, 0.999082, None, 1L, 1982L, None, 1997L, None, 12L, 2L, <sqlalchemy.orm.state.InstanceState object at 0x050FCB50>, u'http://media.eol.org/content/2012/06/13/18/82904_orig.jpg', None, False, u'Divided', 42276L, 1L, None, 5L, None, u'France', None, None, None, None, None, False, 2L, u'USA', u'#F00E88', u'Pinopsida', 0L, True, 1L, 5L, u'Abies', None, 11L
None, False, None, u'Pinaceae', [<Taxonomy 2L>], u'van Mantgem; Stephenson', 1L, 36L, u'c(|DBH: 0.0-5.0 cm|DBH: 5.1-10.0 cm|DBH: 10.1-20.0 cm|DBH: 20.1-40.0 cm|DBH: >40.0 cm|)', True, u'Pinophyta', u'http://media.eol.org/content/2012/06/14/17/08077_orig.jpg', None, u'c(|active|active|active|active|active|)', None, 117L, u'c(|1|2|3|4|5|)', 36L, None, <Publication 2L>, 2209.0, None, False, None, None, u'DBH', u'J Ecol', 36.6, u'N', None, True, 5L, None, u'Plantae', None, None, u'W', [<Trait 2L>], None, None, None, datetime.datetime(2013, 1, 23, 0, 0), 2L, True, None, False, 0L, None, True, <Population 3L>, 22L, 2L, 1L, 2003L, None, u'Abies_concolor', u'10.1111/j.1365-2745.2005.01007.x', 11L, -117.3, None, u'Log Creek', 4L, 3L, u'[0 0 0 0 0.097;0 0 0 0 0;0 0 0 0 0;0 0 0 0 0;0 0 0 0 0]', None, None, [3], None, 7L, u'Hodgedon Meadows: 1.0 and 1.0 ha; Crystal Road: 1.0 and 1.1 ha; Suwanee Creek: 1.4 and 0.9 and 1.1 ha; SEGI Conifer: 2.0 and 2.5 ha; Log Creek: 1.1 and 1.0 ha', u'Pinales', None, None, None, u'[0.694 0 0 0 0;0.153 0.705 0 0 0;0 0.173 0.834 0 0;0 0 0.103 0.861 0;0 0 0 0.13 0.986]', 5L, None, None, None, u'[0 0 0 0 0;0 0 0 0 0;0 0 0 0 0;0 0 0 0 0;0 0 0 0 0]', None, 2005, 0.991, None, 3L, 1987L, 2L, u'Abies_concolor', None, True, u'[0.694 0 0 0 0.097;0.153 0.705 0 0 0;0 0.173 0.834 0 0;0 0 0.103 0.861 0;0 0 0 0.13 0.986]', 1L, <Species 2L>, 1.0019, None, 1L, 1982L, None, 1992L, None, 18L, 3L, <sqlalchemy.orm.state.InstanceState object at 0x05EF4470>, u'http://media.eol.org/content/2012/06/13/18/82904_orig.jpg', None, False, u'Divided', 42276L, 1L, None, 5L, None, u'France', None, None, None, None, None, False, 2L, u'USA', u'#F00E88', u'Pinopsida', 0L, True, 1L, 5L, u'Abies', None, 11L
None, False, None, u'Pinaceae', [<Taxonomy 2L>], u'van Mantgem; Stephenson', 1L, 36L, u'c(|DBH: 0.0-5.0 cm|DBH: 5.1-10.0 cm|DBH: 10.1-20.0 cm|DBH: 20.1-40.0 cm|DBH: >40.0 cm|)', True, u'Pinophyta', u'http://media.eol.org/content/2012/06/14/17/08077_orig.jpg', None, u'c(|active|active|active|active|active|)', None, 117L, u'c(|1|2|3|4|5|)', 36L, None, <Publication 2L>, 1623.0, None, False, None, None, u'DBH', u'J Ecol', 36.6, u'N', None, True, 5L, None, u'Plantae', None, None, u'W', [<Trait 2L>], None, None, None, datetime.datetime(2013, 1, 23, 0, 0), 2L, True, None, False, 0L, None, True, <Population 2L>, 22L, 2L, 2L, 2003L, None, u'Abies_concolor', u'10.1111/j.1365-2745.2005.01007.x', 11L, -117.2, None, u'Crystal Road', 4L, 2L, u'[0 0 0 0 1.3415;0 0 0 0 0;0 0 0 0 0;0 0 0 0 0;0 0 0 0 0]', None, None, [4], None, 7L, u'Hodgedon Meadows: 1.0 and 1.0 ha; Crystal Road: 1.0 and 1.1 ha; Suwanee Creek: 1.4 and 0.9 and 1.1 ha; SEGI Conifer: 2.0 and 2.5 ha; Log Creek: 1.1 and 1.0 ha', u'Pinales', None, None, None, u'[0.773 0 0 0 0;0.064 0.8655 0 0 0;0 0.053 0.8565 0 0;0 0 0.108 0.9115 0;0 0 0 0.0765 0.9205]', 5L, None, None, None, u'[0 0 0 0 0;0 0 0 0 0;0 0 0 0 0;0 0 0 0 0;0 0 0 0 0]', None, 2005, 0.988, None, 4L, 1991L, 2L, u'Abies_concolor', None, True, u'[0.773 0 0 0 1.3415;0.064 0.8655 0 0 0;0 0.053 0.8565 0 0;0 0 0.108 0.9115 0;0 0 0 0.0765 0.9205]', 1L, <Species 2L>, 1.00476, None, 1L, 1982L, None, 2002L, None, 12L, 4L, <sqlalchemy.orm.state.InstanceState object at 0x05EF46B0>, u'http://media.eol.org/content/2012/06/13/18/82904_orig.jpg', None, False, u'Divided', 42276L, 1L, None, 5L, None, u'France', None, None, None, None, None, False, 2L, u'USA', u'#F00E88', u'Pinopsida', 0L, True, 1L, 5L, u'Abies', None, 11L
None, False, None, u'Pinaceae', [<Taxonomy 2L>], u'van Mantgem; Stephenson', 1L, 37L, u'c(|DBH: 0.0-5.0 cm|DBH: 5.1-10.0 cm|DBH: 10.1-20.0 cm|DBH: 20.1-40.0 cm|DBH: >40.0 cm|)', True, u'Pinophyta', u'http://media.eol.org/content/2012/06/14/17/08077_orig.jpg', None, u'c(|active|active|active|active|active|)', None, 118L, u'c(|1|2|3|4|5|)', 48L, None, <Publication 2L>, 1569.0, None, False, None, None, u'DBH', u'J Ecol', 37.8, u'N', None, True, 5L, None, u'Plantae', None, None, u'W', [<Trait 2L>], None, None, None, datetime.datetime(2013, 1, 23, 0, 0), 2L, True, None, False, 0L, None, True, <Population 4L>, 22L, 2L, 1L, 2003L, None, u'Abies_concolor', u'10.1111/j.1365-2745.2005.01007.x', 11L, -118.1, None, u'Hodgedon Meadows', 4L, 4L, u'[0 0 0 0 4.081;0 0 0 0 0;0 0 0 0 0;0 0 0 0 0;0 0 0 0 0]', None, None, [5], None, 7L, u'Hodgedon Meadows: 1.0 and 1.0 ha; Crystal Road: 1.0 and 1.1 ha; Suwanee Creek: 1.4 and 0.9 and 1.1 ha; SEGI Conifer: 2.0 and 2.5 ha; Log Creek: 1.1 and 1.0 ha', u'Pinales', None, None, None, u'[0.855 0 0 0 0;0.082 0.828 0 0 0;0 0.123 0.866 0 0;0 0 0.107 0.913 0;0 0 0 0.072 0.973]', 5L, None, None, None, u'[0 0 0 0 0;0 0 0 0 0;0 0 0 0 0;0 0 0 0 0;0 0 0 0 0]', None, 2005, 0.985, None, 5L, 1991L, 2L, u'Abies_concolor', None, True, u'[0.855 0 0 0 4.081;0.082 0.828 0 0 0;0 0.123 0.866 0 0;0 0 0.107 0.913 0;0 0 0 0.072 0.973]', 1L, <Species 2L>, 1.09396, None, 1L, 1982L, None, 1994L, None, 6L, 5L, <sqlalchemy.orm.state.InstanceState object at 0x05EF4550>, u'http://media.eol.org/content/2012/06/13/18/82904_orig.jpg', None, False, u'Divided', 42276L, 1L, None, 5L, None, u'France', None, None, None, None, None, False, 2L, u'USA', u'#F00E88', u'Pinopsida', 0L, True, 1L, 5L, u'Abies', None, 11L
None, False, None, u'Pinaceae', [<Taxonomy 2L>], u'van Mantgem; Stephenson', 1L, 36L, u'c(|DBH: 0.0-5.0 cm|DBH: 5.1-10.0 cm|DBH: 10.1-20.0 cm|DBH: 20.1-40.0 cm|DBH: >40.0 cm|)', True, u'Pinophyta', u'http://media.eol.org/content/2012/06/14/17/08077_orig.jpg', None, u'c(|active|active|active|active|active|)', None, 117L, u'c(|1|2|3|4|5|)', 36L, None, <Publication 2L>, 2042.0, None, False, None, None, u'DBH', u'J Ecol', 36.6, u'N', None, True, 5L, None, u'Plantae', None, None, u'W', [<Trait 2L>], None, None, None, datetime.datetime(2013, 1, 23, 0, 0), 2L, True, None, False, 0L, None, True, <Population 5L>, 22L, 2L, 1L, 2003L, None, u'Abies_concolor', u'10.1111/j.1365-2745.2005.01007.x', 11L, -117.2, None, u'Suwanee Creek ', 4L, 5L, u'[0 0 0 0 0.307;0 0 0 0 0;0 0 0 0 0;0 0 0 0 0;0 0 0 0 0]', None, None, [6], None, 7L, u'Hodgedon Meadows: 1.0 and 1.0 ha; Crystal Road: 1.0 and 1.1 ha; Suwanee Creek: 1.4 and 0.9 and 1.1 ha; SEGI Conifer: 2.0 and 2.5 ha; Log Creek: 1.1 and 1.0 ha', u'Pinales', None, None, None, u'[0.836 0 0 0 0;0.134 0.85 0 0 0;0 0.131 0.895 0 0;0 0 0.066 0.932 0;0 0 0 0.051 0.966]', 5L, None, None, None, u'[0 0 0 0 0;0 0 0 0 0;0 0 0 0 0;0 0 0 0 0;0 0 0 0 0]', None, 2005, 0.983, None, 6L, 1983L, 2L, u'Abies_concolor', None, True, u'[0.836 0 0 0 0.307;0.134 0.85 0 0 0;0 0.131 0.895 0 0;0 0 0.066 0.932 0;0 0 0 0.051 0.966]', 1L, <Species 2L>, 1.01951, None, 1L, 1982L, None, 1988L, None, 12L, 6L, <sqlalchemy.orm.state.InstanceState object at 0x05EF47B0>, u'http://media.eol.org/content/2012/06/13/18/82904_orig.jpg', None, False, u'Divided', 42276L, 1L, None, 5L, None, u'France', None, None, None, None, None, False, 2L, u'USA', u'#F00E88', u'Pinopsida', 0L, True, 1L, 5L, u'Abies', None, 11L
None, False, None, u'Pinaceae', [<Taxonomy 2L>], u'van Mantgem; Stephenson', 1L, 36L, u'c(|DBH: 0.0-5.0 cm|DBH: 5.1-10.0 cm|DBH: 10.1-20.0 cm|DBH: 20.1-40.0 cm|DBH: >40.0 cm|)', True, u'Pinophyta', u'http://media.eol.org/content/2012/06/14/17/08077_orig.jpg', None, u'c(|active|active|active|active|active|)', None, 117L, u'c(|1|2|3|4|5|)', 36L, None, <Publication 2L>, 2209.0, None, False, None, None, u'DBH', u'J Ecol', 36.6, u'N', None, True, 5L, None, u'Plantae', None, None, u'W', [<Trait 2L>], None, None, None, datetime.datetime(2013, 1, 23, 0, 0), 2L, True, None, False, 0L, None, True, <Population 3L>, 22L, 2L, 1L, 2003L, None, u'Abies_concolor', u'10.1111/j.1365-2745.2005.01007.x', 11L, -117.3, None, u'Log Creek', 4L, 3L, u'[0 0 0 0 0.115;0 0 0 0 0;0 0 0 0 0;0 0 0 0 0;0 0 0 0 0]', None, None, [7], None, 7L, u'Hodgedon Meadows: 1.0 and 1.0 ha; Crystal Road: 1.0 and 1.1 ha; Suwanee Creek: 1.4 and 0.9 and 1.1 ha; SEGI Conifer: 2.0 and 2.5 ha; Log Creek: 1.1 and 1.0 ha', u'Pinales', None, None, None, u'[0.834 0 0 0 0;0.124 0.817 0 0 0;0 0.099 0.877 0 0;0 0 0.084 0.962 0;0 0 0 0.019 0.974]', 5L, None, None, None, u'[0 0 0 0 0;0 0 0 0 0;0 0 0 0 0;0 0 0 0 0;0 0 0 0 0]', None, 2005, 0.981, None, 7L, 1987L, 2L, u'Abies_concolor', None, True, u'[0.834 0 0 0 0.115;0.124 0.817 0 0 0;0 0.099 0.877 0 0;0 0 0.084 0.962 0;0 0 0 0.019 0.974]', 1L, <Species 2L>, 0.994603, None, 1L, 1982L, None, 2002L, None, 18L, 7L, <sqlalchemy.orm.state.InstanceState object at 0x05E3E110>, u'http://media.eol.org/content/2012/06/13/18/82904_orig.jpg', None, False, u'Divided', 42276L, 1L, None, 5L, None, u'France', None, None, None, None, None, False, 2L, u'USA', u'#F00E88', u'Pinopsida', 0L, True, 1L, 5L, u'Abies', None, 11L
None, False, None, u'Pinaceae', [<Taxonomy 2L>], u'van Mantgem; Stephenson', 1L, 36L, u'c(|DBH: 0.0-5.0 cm|DBH: 5.1-10.0 cm|DBH: 10.1-20.0 cm|DBH: 20.1-40.0 cm|DBH: >40.0 cm|)', True, u'Pinophyta', u'http://media.eol.org/content/2012/06/14/17/08077_orig.jpg', None, u'c(|active|active|active|active|active|)', None, 117L, u'c(|1|2|3|4|5|)', 36L, None, <Publication 2L>, 1623.0, None, False, None, None, u'DBH', u'J Ecol', 36.6, u'N', None, True, 5L, None, u'Plantae', None, None, u'W', [<Trait 2L>], None, None, None, datetime.datetime(2013, 1, 23, 0, 0), 2L, True, None, False, 0L, None, True, <Population 2L>, 22L, 2L, 1L, 2003L, None, u'Abies_concolor', u'10.1111/j.1365-2745.2005.01007.x', 11L, -117.2, None, u'Crystal Road', 4L, 2L, u'[0 0 0 0 1.404;0 0 0 0 0;0 0 0 0 0;0 0 0 0 0;0 0 0 0 0]', None, None, [8], None, 7L, u'Hodgedon Meadows: 1.0 and 1.0 ha; Crystal Road: 1.0 and 1.1 ha; Suwanee Creek: 1.4 and 0.9 and 1.1 ha; SEGI Conifer: 2.0 and 2.5 ha; Log Creek: 1.1 and 1.0 ha', u'Pinales', None, None, None, u'[0.772 0 0 0 0;0.042 0.894 0 0 0;0 0.034 0.873 0 0;0 0 0.105 0.92 0;0 0 0 0.08 0.957]', 5L, None, None, None, u'[0 0 0 0 0;0 0 0 0 0;0 0 0 0 0;0 0 0 0 0;0 0 0 0 0]', None, 2005, 1.0, None, 8L, 1997L, 2L, u'Abies_concolor', None, True, u'[0.772 0 0 0 1.404;0.042 0.894 0 0 0;0 0.034 0.873 0 0;0 0 0.105 0.92 0;0 0 0 0.08 0.957]', 1L, <Species 2L>, 1.00864, None, 1L, 1982L, None, 2002L, None, 12L, 8L, <sqlalchemy.orm.state.InstanceState object at 0x05E3E3D0>, u'http://media.eol.org/content/2012/06/13/18/82904_orig.jpg', None, False, u'Divided', 42276L, 1L, None, 5L, None, u'France', None, None, None, None, None, False, 2L, u'USA', u'#F00E88', u'Pinopsida', 0L, True, 1L, 5L, u'Abies', None, 11L
None, False, None, u'Pinaceae', [<Taxonomy 2L>], u'van Mantgem; Stephenson', 1L, 36L, u'c(|DBH: 0.0-5.0 cm|DBH: 5.1-10.0 cm|DBH: 10.1-20.0 cm|DBH: 20.1-40.0 cm|DBH: >40.0 cm|)', True, u'Pinophyta', u'http://media.eol.org/content/2012/06/14/17/08077_orig.jpg', None, u'c(|active|active|active|active|active|)', None, 117L, u'c(|1|2|3|4|5|)', 36L, None, <Publication 2L>, 2042.0, None, False, None, None, u'DBH', u'J Ecol', 36.6, u'N', None, True, 5L, None, u'Plantae', None, None, u'W', [<Trait 2L>], None, None, None, datetime.datetime(2013, 1, 23, 0, 0), 2L, True, None, False, 0L, None, True, <Population 5L>, 22L, 2L, 2L, 2003L, None, u'Abies_concolor', u'10.1111/j.1365-2745.2005.01007.x', 11L, -117.2, None, u'Suwanee Creek ', 4L, 5L, u'[0 0 0 0 0.352333333333333;0 0 0 0 0;0 0 0 0 0;0 0 0 0 0;0 0 0 0 0]', None, None, [9], None, 7L, u'Hodgedon Meadows: 1.0 and 1.0 ha; Crystal Road: 1.0 and 1.1 ha; Suwanee Creek: 1.4 and 0.9 and 1.1 ha; SEGI Conifer: 2.0 and 2.5 ha; Log Creek: 1.1 and 1.0 ha', u'Pinales', None, None, None, u'[0.815666666666667 0 0 0 0;0.127 0.807 0 0 0;0 0.155333333333333 0.875666666666667 0 0;0 0 0.081 0.904666666666667 0;0 0 0 0.0583333333333333 0.941666666666667]', 5L, None, None, None, u'[0 0 0 0 0;0 0 0 0 0;0 0 0 0 0;0 0 0 0 0;0 0 0 0 0]', None, 2005, 0.963, None, 9L, 1983L, 2L, u'Abies_concolor', None, True, u'[0.815666666666667 0 0 0 0.352333333333333;0.127 0.807 0 0 0;0 0.155333333333333 0.875666666666667 0 0;0 0 0.081 0.904666666666667 0;0 0 0 0.0583333333333333 0.941666666666667]', 1L, <Species 2L>, 1.00647, None, None, 1982L, None, 1999L, None, 12L, 9L, <sqlalchemy.orm.state.InstanceState object at 0x05E3E230>, u'http://media.eol.org/content/2012/06/13/18/82904_orig.jpg', None, False, u'Divided', 42276L, 1L, None, 5L, None, u'France', None, None, None, None, None, None, 2L, u'USA', u'#F00E88', u'Pinopsida', 0L, True, 1L, 5L, u'Abies', None, 11L
None, False, None, u'Pinaceae', [<Taxonomy 2L>], u'van Mantgem; Stephenson', 1L, 36L, u'c(|DBH: 0.0-5.0 cm|DBH: 5.1-10.0 cm|DBH: 10.1-20.0 cm|DBH: 20.1-40.0 cm|DBH: >40.0 cm|)', True, u'Pinophyta', u'http://media.eol.org/content/2012/06/14/17/08077_orig.jpg', None, u'c(|active|active|active|active|active|)', None, 117L, u'c(|1|2|3|4|5|)', 36L, None, <Publication 2L>, 2042.0, None, False, None, None, u'DBH', u'J Ecol', 36.6, u'N', None, True, 5L, None, u'Plantae', None, None, u'W', [<Trait 2L>], None, None, None, datetime.datetime(2013, 1, 23, 0, 0), 2L, True, None, False, 0L, None, True, <Population 5L>, 22L, 2L, 1L, 2003L, None, u'Abies_concolor', u'10.1111/j.1365-2745.2005.01007.x', 11L, -117.2, None, u'Suwanee Creek ', 4L, 5L, u'[0 0 0 0 0.287;0 0 0 0 0;0 0 0 0 0;0 0 0 0 0;0 0 0 0 0]', None, None, [10], None, 7L, u'Hodgedon Meadows: 1.0 and 1.0 ha; Crystal Road: 1.0 and 1.1 ha; Suwanee Creek: 1.4 and 0.9 and 1.1 ha; SEGI Conifer: 2.0 and 2.5 ha; Log Creek: 1.1 and 1.0 ha', u'Pinales', None, None, None, u'[0.823 0 0 0 0;0.108 0.767 0 0 0;0 0.174 0.857 0 0;0 0 0.086 0.91 0;0 0 0 0.056 0.903]', 5L, None, None, None, u'[0 0 0 0 0;0 0 0 0 0;0 0 0 0 0;0 0 0 0 0;0 0 0 0 0]', None, 2005, 0.966, None, 10L, 1988L, 2L, u'Abies_concolor', None, True, u'[0.823 0 0 0 0.287;0.108 0.767 0 0 0;0 0.174 0.857 0 0;0 0 0.086 0.91 0;0 0 0 0.056 0.903]', 1L, <Species 2L>, 0.983471, None, None, 1982L, None, 1994L, None, 12L, 10L, <sqlalchemy.orm.state.InstanceState object at 0x05EF4DD0>, u'http://media.eol.org/content/2012/06/13/18/82904_orig.jpg', None, False, u'Divided', 42276L, 1L, None, 5L, None, u'France', None, None, None, None, None, None, 2L, u'USA', u'#F00E88', u'Pinopsida', 0L, True, 1L, 5L, u'Abies', None, 11L
None, False, None, u'Pinaceae', [<Taxonomy 2L>], u'van Mantgem; Stephenson', 1L, 36L, u'c(|DBH: 0.0-5.0 cm|DBH: 5.1-10.0 cm|DBH: 10.1-20.0 cm|DBH: 20.1-40.0 cm|DBH: >40.0 cm|)', True, u'Pinophyta', u'http://media.eol.org/content/2012/06/14/17/08077_orig.jpg', None, u'c(|active|active|active|active|active|)', None, 117L, u'c(|1|2|3|4|5|)', 36L, None, <Publication 2L>, 2209.0, None, False, None, None, u'DBH', u'J Ecol', 36.6, u'N', None, True, 5L, None, u'Plantae', None, None, u'W', [<Trait 2L>], None, None, None, datetime.datetime(2013, 1, 23, 0, 0), 2L, False, None, False, 0L, None, False, <Population 3L>, 22L, 2L, 1L, 2003L, None, u'Abies_concolor', u'10.1111/j.1365-2745.2005.01007.x', 11L, -117.3, None, u'Log Creek', 4L, 3L, u'[0 0 0 0 0.305;0 0 0 0 0;0 0 0 0 0;0 0 0 0 0;0 0 0 0 0]', None, None, [11], None, 7L, u'Hodgedon Meadows: 1.0 and 1.0 ha; Crystal Road: 1.0 and 1.1 ha; Suwanee Creek: 1.4 and 0.9 and 1.1 ha; SEGI Conifer: 2.0 and 2.5 ha; Log Creek: 1.1 and 1.0 ha', u'Pinales', None, None, None, u'[0.726 0 0 0 0;0.215 0.723 0 0 0;0 0.204 0.871 0 0;0 0 0.054 0.86 0;0 0 0 0 0.942]', 5L, None, None, None, u'[0 0 0 0 0;0 0 0 0 0;0 0 0 0 0;0 0 0 0 0;0 0 0 0 0]', None, 2005, 0.942, None, 11L, 1992L, 2L, u'Abies_concolor', None, False, u'[0.726 0 0 0 0.305;0.215 0.723 0 0 0;0 0.204 0.871 0 0;0 0 0.054 0.86 0;0 0 0 0 0.942]', 1L, <Species 2L>, 0.942, None, 1L, 1982L, None, 1997L, None, 18L, 11L, <sqlalchemy.orm.state.InstanceState object at 0x05EF4730>, u'http://media.eol.org/content/2012/06/13/18/82904_orig.jpg', None, False, u'Divided', 42276L, 1L, None, 5L, None, u'France', None, None, None, None, None, False, 2L, u'USA', u'#F00E88', u'Pinopsida', 0L, True, 1L, 5L, u'Abies', None, 11L
