'seasonal', 'uid', 'independent', 'matrix_criteria_size', 'studied_sex_id', 'class_author', 'matrix_fec', 'n_intervals', 'class_organized', 'survival_issue', 'matrix_start_month', 'class_number', 'id', 'matrix_start_year', 'matrix_primitive', 'matrix_a_string', 'matrix_split', 'matrix_start_season_id', 'observations', 'matrix_end_month', 'matrix_end_year', 'matrix_dimension', 'matrix_ergodic', '_sa_instance_state', 'matrix_criteria_ontogeny', 'matrix_criteria_age', 'treatment_id', 'matrix_composition_id', 'matrix_irreducible', 'matrix_u_string', 'captivity_id', 'matrix_lambda', 'matrix_c_string', 'matrix_difficulty', 'matrix_end_season_id', 'non_independence_author', 'population_id', 'matrix_f_string', 'independence_origin', 'matrix_complete', 'non_independence'one, None, None, u'DBH; stem height', None, None, None, None, None, None, None, None, 1L, None, None, None, None, None, None, None, None, None, None, <sqlalchemy.orm.state.InstanceState object at 0x05964090>, False, False, 1L, None, None, None, None, None, None, None, None, None, 1L, None, None, None, Non
alse, None, None, u'DBH', 5L, u'c(|DBH: 0.0-5.0 cm|DBH: 5.1-10.0 cm|DBH: 10.1-20.0 cm|DBH: 20.1-40.0 cm|DBH: >40.0 cm|)', True, None, u'c(|active|active|active|active|active|)', 0.976, None, u'c(|1|2|3|4|5|)', 2L, 1991L, True, u'[0.774 0 0 0 1.279;0.086 0.837 0 0 0;0 0.072 0.84 0 0;0 0 0.111 0.903 0;0 0 0 0.073 0.884]', u'Divided', None, None, None, 1997L, 5L, True, <sqlalchemy.orm.state.InstanceState object at 0x05964110>, False, False, 1L, 1L, True, u'[0.774 0 0 0 0;0.086 0.837 0 0 0;0 0.072 0.84 0 0;0 0 0.111 0.903 0;0 0 0 0.073 0.884]', 1L, 0.999082, u'[0 0 0 0 0;0 0 0 0 0;0 0 0 0 0;0 0 0 0 0;0 0 0 0 0]', None, None, None, 2L, u'[0 0 0 0 1.279;0 0 0 0 0;0 0 0 0 0;0 0 0 0 0;0 0 0 0 0]', None, True, Non
alse, None, None, u'DBH', 5L, u'c(|DBH: 0.0-5.0 cm|DBH: 5.1-10.0 cm|DBH: 10.1-20.0 cm|DBH: 20.1-40.0 cm|DBH: >40.0 cm|)', True, None, u'c(|active|active|active|active|active|)', 0.991, None, u'c(|1|2|3|4|5|)', 3L, 1987L, True, u'[0.694 0 0 0 0.097;0.153 0.705 0 0 0;0 0.173 0.834 0 0;0 0 0.103 0.861 0;0 0 0 0.13 0.986]', u'Divided', None, None, None, 1992L, 5L, True, <sqlalchemy.orm.state.InstanceState object at 0x05964170>, False, False, 1L, 1L, True, u'[0.694 0 0 0 0;0.153 0.705 0 0 0;0 0.173 0.834 0 0;0 0 0.103 0.861 0;0 0 0 0.13 0.986]', 1L, 1.0019, u'[0 0 0 0 0;0 0 0 0 0;0 0 0 0 0;0 0 0 0 0;0 0 0 0 0]', None, None, None, 3L, u'[0 0 0 0 0.097;0 0 0 0 0;0 0 0 0 0;0 0 0 0 0;0 0 0 0 0]', None, True, Non
alse, None, None, u'DBH', 5L, u'c(|DBH: 0.0-5.0 cm|DBH: 5.1-10.0 cm|DBH: 10.1-20.0 cm|DBH: 20.1-40.0 cm|DBH: >40.0 cm|)', True, None, u'c(|active|active|active|active|active|)', 0.988, None, u'c(|1|2|3|4|5|)', 4L, 1991L, True, u'[0.773 0 0 0 1.3415;0.064 0.8655 0 0 0;0 0.053 0.8565 0 0;0 0 0.108 0.9115 0;0 0 0 0.0765 0.9205]', u'Divided', None, None, None, 2002L, 5L, True, <sqlalchemy.orm.state.InstanceState object at 0x059641D0>, False, False, 1L, 2L, True, u'[0.773 0 0 0 0;0.064 0.8655 0 0 0;0 0.053 0.8565 0 0;0 0 0.108 0.9115 0;0 0 0 0.0765 0.9205]', 1L, 1.00476, u'[0 0 0 0 0;0 0 0 0 0;0 0 0 0 0;0 0 0 0 0;0 0 0 0 0]', None, None, None, 2L, u'[0 0 0 0 1.3415;0 0 0 0 0;0 0 0 0 0;0 0 0 0 0;0 0 0 0 0]', None, True, Non
alse, None, None, u'DBH', 5L, u'c(|DBH: 0.0-5.0 cm|DBH: 5.1-10.0 cm|DBH: 10.1-20.0 cm|DBH: 20.1-40.0 cm|DBH: >40.0 cm|)', True, None, u'c(|active|active|active|active|active|)', 0.985, None, u'c(|1|2|3|4|5|)', 5L, 1991L, True, u'[0.855 0 0 0 4.081;0.082 0.828 0 0 0;0 0.123 0.866 0 0;0 0 0.107 0.913 0;0 0 0 0.072 0.973]', u'Divided', None, None, None, 1994L, 5L, True, <sqlalchemy.orm.state.InstanceState object at 0x05964230>, False, False, 1L, 1L, True, u'[0.855 0 0 0 0;0.082 0.828 0 0 0;0 0.123 0.866 0 0;0 0 0.107 0.913 0;0 0 0 0.072 0.973]', 1L, 1.09396, u'[0 0 0 0 0;0 0 0 0 0;0 0 0 0 0;0 0 0 0 0;0 0 0 0 0]', None, None, None, 4L, u'[0 0 0 0 4.081;0 0 0 0 0;0 0 0 0 0;0 0 0 0 0;0 0 0 0 0]', None, True, Non
alse, None, None, u'DBH', 5L, u'c(|DBH: 0.0-5.0 cm|DBH: 5.1-10.0 cm|DBH: 10.1-20.0 cm|DBH: 20.1-40.0 cm|DBH: >40.0 cm|)', True, None, u'c(|active|active|active|active|active|)', 0.983, None, u'c(|1|2|3|4|5|)', 6L, 1983L, True, u'[0.836 0 0 0 0.307;0.134 0.85 0 0 0;0 0.131 0.895 0 0;0 0 0.066 0.932 0;0 0 0 0.051 0.966]', u'Divided', None, None, None, 1988L, 5L, True, <sqlalchemy.orm.state.InstanceState object at 0x05964290>, False, False, 1L, 1L, True, u'[0.836 0 0 0 0;0.134 0.85 0 0 0;0 0.131 0.895 0 0;0 0 0.066 0.932 0;0 0 0 0.051 0.966]', 1L, 1.01951, u'[0 0 0 0 0;0 0 0 0 0;0 0 0 0 0;0 0 0 0 0;0 0 0 0 0]', None, None, None, 5L, u'[0 0 0 0 0.307;0 0 0 0 0;0 0 0 0 0;0 0 0 0 0;0 0 0 0 0]', None, True, Non
alse, None, None, u'DBH', 5L, u'c(|DBH: 0.0-5.0 cm|DBH: 5.1-10.0 cm|DBH: 10.1-20.0 cm|DBH: 20.1-40.0 cm|DBH: >40.0 cm|)', True, None, u'c(|active|active|active|active|active|)', 0.981, None, u'c(|1|2|3|4|5|)', 7L, 1987L, True, u'[0.834 0 0 0 0.115;0.124 0.817 0 0 0;0 0.099 0.877 0 0;0 0 0.084 0.962 0;0 0 0 0.019 0.974]', u'Divided', None, None, None, 2002L, 5L, True, <sqlalchemy.orm.state.InstanceState object at 0x059642F0>, False, False, 1L, 1L, True, u'[0.834 0 0 0 0;0.124 0.817 0 0 0;0 0.099 0.877 0 0;0 0 0.084 0.962 0;0 0 0 0.019 0.974]', 1L, 0.994603, u'[0 0 0 0 0;0 0 0 0 0;0 0 0 0 0;0 0 0 0 0;0 0 0 0 0]', None, None, None, 3L, u'[0 0 0 0 0.115;0 0 0 0 0;0 0 0 0 0;0 0 0 0 0;0 0 0 0 0]', None, True, Non
alse, None, None, u'DBH', 5L, u'c(|DBH: 0.0-5.0 cm|DBH: 5.1-10.0 cm|DBH: 10.1-20.0 cm|DBH: 20.1-40.0 cm|DBH: >40.0 cm|)', True, None, u'c(|active|active|active|active|active|)', 1.0, None, u'c(|1|2|3|4|5|)', 8L, 1997L, True, u'[0.772 0 0 0 1.404;0.042 0.894 0 0 0;0 0.034 0.873 0 0;0 0 0.105 0.92 0;0 0 0 0.08 0.957]', u'Divided', None, None, None, 2002L, 5L, True, <sqlalchemy.orm.state.InstanceState object at 0x05964350>, False, False, 1L, 1L, True, u'[0.772 0 0 0 0;0.042 0.894 0 0 0;0 0.034 0.873 0 0;0 0 0.105 0.92 0;0 0 0 0.08 0.957]', 1L, 1.00864, u'[0 0 0 0 0;0 0 0 0 0;0 0 0 0 0;0 0 0 0 0;0 0 0 0 0]', None, None, None, 2L, u'[0 0 0 0 1.404;0 0 0 0 0;0 0 0 0 0;0 0 0 0 0;0 0 0 0 0]', None, True, Non
alse, None, None, u'DBH', 5L, u'c(|DBH: 0.0-5.0 cm|DBH: 5.1-10.0 cm|DBH: 10.1-20.0 cm|DBH: 20.1-40.0 cm|DBH: >40.0 cm|)', True, None, u'c(|active|active|active|active|active|)', 0.963, None, u'c(|1|2|3|4|5|)', 9L, 1983L, True, u'[0.815666666666667 0 0 0 0.352333333333333;0.127 0.807 0 0 0;0 0.155333333333333 0.875666666666667 0 0;0 0 0.081 0.904666666666667 0;0 0 0 0.0583333333333333 0.941666666666667]', u'Divided', None, None, None, 1999L, 5L, True, <sqlalchemy.orm.state.InstanceState object at 0x059643B0>, False, False, 1L, 2L, True, u'[0.815666666666667 0 0 0 0;0.127 0.807 0 0 0;0 0.155333333333333 0.875666666666667 0 0;0 0 0.081 0.904666666666667 0;0 0 0 0.0583333333333333 0.941666666666667]', 1L, 1.00647, u'[0 0 0 0 0;0 0 0 0 0;0 0 0 0 0;0 0 0 0 0;0 0 0 0 0]', None, None, None, 5L, u'[0 0 0 0 0.352333333333333;0 0 0 0 0;0 0 0 0 0;0 0 0 0 0;0 0 0 0 0]', None, True, Non
alse, None, None, u'DBH', 5L, u'c(|DBH: 0.0-5.0 cm|DBH: 5.1-10.0 cm|DBH: 10.1-20.0 cm|DBH: 20.1-40.0 cm|DBH: >40.0 cm|)', True, None, u'c(|active|active|active|active|active|)', 0.966, None, u'c(|1|2|3|4|5|)', 10L, 1988L, True, u'[0.823 0 0 0 0.287;0.108 0.767 0 0 0;0 0.174 0.857 0 0;0 0 0.086 0.91 0;0 0 0 0.056 0.903]', u'Divided', None, None, None, 1994L, 5L, True, <sqlalchemy.orm.state.InstanceState object at 0x05964410>, False, False, 1L, 1L, True, u'[0.823 0 0 0 0;0.108 0.767 0 0 0;0 0.174 0.857 0 0;0 0 0.086 0.91 0;0 0 0 0.056 0.903]', 1L, 0.983471, u'[0 0 0 0 0;0 0 0 0 0;0 0 0 0 0;0 0 0 0 0;0 0 0 0 0]', None, None, None, 5L, u'[0 0 0 0 0.287;0 0 0 0 0;0 0 0 0 0;0 0 0 0 0;0 0 0 0 0]', None, True, Non
alse, None, None, u'DBH', 5L, u'c(|DBH: 0.0-5.0 cm|DBH: 5.1-10.0 cm|DBH: 10.1-20.0 cm|DBH: 20.1-40.0 cm|DBH: >40.0 cm|)', True, None, u'c(|active|active|active|active|active|)', 0.942, None, u'c(|1|2|3|4|5|)', 11L, 1992L, False, u'[0.726 0 0 0 0.305;0.215 0.723 0 0 0;0 0.204 0.871 0 0;0 0 0.054 0.86 0;0 0 0 0 0.942]', u'Divided', None, None, None, 1997L, 5L, False, <sqlalchemy.orm.state.InstanceState object at 0x05964470>, False, False, 1L, 1L, False, u'[0.726 0 0 0 0;0.215 0.723 0 0 0;0 0.204 0.871 0 0;0 0 0.054 0.86 0;0 0 0 0 0.942]', 1L, 0.942, u'[0 0 0 0 0;0 0 0 0 0;0 0 0 0 0;0 0 0 0 0;0 0 0 0 0]', None, None, None, 3L, u'[0 0 0 0 0.305;0 0 0 0 0;0 0 0 0 0;0 0 0 0 0;0 0 0 0 0]', None, True, Non
alse, None, None, u'DBH', 5L, u'c(|DBH: 0.0-5.0 cm|DBH: 5.1-10.0 cm|DBH: 10.1-20.0 cm|DBH: 20.1-40.0 cm|DBH: >40.0 cm|)', True, None, u'c(|active|active|active|active|active|)', 0.9384, None, u'c(|1|2|3|4|5|)', 12L, 1982L, True, u'[0.7414 0 0 0 0.441033333333333;0.112933333333333 0.7643 0 0 0;0 0.120533333333333 0.8169 0 0;0 0 0.0797333333333333 0.881366666666667 0;0 0 0 0.0570333333333333 0.9323]', u'Divided', None, None, None, 2003L, 5L, True, <sqlalchemy.orm.state.InstanceState object at 0x059644D0>, False, False, 1L, 2L, True, u'[0.7414 0 0 0 0;0.112933333333333 0.7643 0 0 0;0 0.120533333333333 0.8169 0 0;0 0 0.0797333333333333 0.881366666666667 0;0 0 0 0.0570333333333333 0.9323]', 1L, 0.972409, u'[0 0 0 0 0;0 0 0 0 0;0 0 0 0 0;0 0 0 0 0;0 0 0 0 0]', None, None, None, 6L, u'[0 0 0 0 0.441033333333333;0 0 0 0 0;0 0 0 0 0;0 0 0 0 0;0 0 0 0 0]', None, True, Non
